,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,2 Round 13 CLZ TenTen Round 17 TenTen CLZ,,,,,,,,,48,0,0
Killua TLN,,6 Round 2 Dep Xdll Round 5 TenTen Xdll Round 7 SugarZ3ro CLZ Round 14 Dep SugarZ3ro Round 15 TenTen Dep Round 18 SugarZ3ro Dep,,,,1 Round 4 Dep,1 Round 7 CLZ SugarZ3ro,,,,82,1,1
JitBoyS TLN,,5 Round 3 Xdll Dep Round 6 Dep Xdll Round 15 Xdll SugarZ3ro Round 16 Xdll SugarZ3ro Round 17 Dep SugarZ3ro,1 Round 10 Dep CLZ TenTen,,,,,,,,80,0,0
primmie TLN,,3 Round 1 SugarZ3ro Xdll primmie Round 4 SugarZ3ro CLZ Round 11 CLZ SugarZ3ro,1 Round 12 Xdll Dep SugarZ3ro,,,,1 Round 1 Xdll SugarZ3ro,,,,59,8,1
thyy TLN,,2 Round 7 TenTen Dep Round 16 TenTen Dep,,,,,,,,,33,0,0
Dep ZETA,,2 Round 3 Crws thyy Round 8 Crws thyy,1 Round 4 JitBoyS primmie Killua Dep,1 Round 9 primmie thyy JitBoyS Killua,,,,,,,61,0,0
CLZ ZETA,,2 Round 7 thyy primmie Round 10 primmie Crws,,,,,,,,,30,2,0
SugarZ3ro ZETA,,1 Round 1 Killua Crws,1 Round 17 thyy primmie Crws,,,1 Round 10 JitBoyS,,,,,55,0,1
Xdll ZETA,,4 Round 1 JitBoyS thyy Round 4 Crws thyy Round 5 thyy Crws Round 8 primmie JitBoyS,,,,1 Round 17 JitBoyS,,,,,74,1,0
TenTen ZETA,,1 Round 18 Crws JitBoyS,,,,,,,,,31,0,0
