,lukxo LOUD,Virtyy LOUD,pANcada LOUD,cauanzin LOUD,RobbieBk LOUD
Okeanos LEV,,0 1 -1,,,
kiNgg LEV,,0 1 -1,,,
C0M LEV,,0 2 -2,,,
tex LEV,,0 1 -1,,,
Sato LEV,,0 2 -2,1 0 +1,1 0 +1,
