,lukxo LOUD,Virtyy LOUD,pANcada LOUD,cauanzin LOUD,RobbieBk LOUD
Okeanos LEV,0 1 -1,1 1 +0,,,
kiNgg LEV,,0 1 -1,,,
C0M LEV,1 1 +0,0 1 -1,,,
tex LEV,1 2 -1,2 0 +2,0 2 -2,0 1 -1,
Sato LEV,0 3 -3,1 0 +1,0 1 -1,2 0 +2,0 2 -2
