,lukxo LOUD,Virtyy LOUD,pANcada LOUD,cauanzin LOUD,RobbieBk LOUD
Okeanos LEV,,,,,
kiNgg LEV,,0 1 -1,,,
C0M LEV,,,1 0 +1,,
tex LEV,,0 3 -3,,,
Sato LEV,2 0 +2,0 1 -1,,,
