,Kicks VIT,runneR VIT,Sayf VIT,ceNder VIT,trexx VIT
primmie TLN,,0 1 -1,1 0 +1,1 0 +1,1 1 +0
Governor TLN,0 2 -2,0 1 -1,0 3 -3,1 1 +0,
JitBoyS TLN,,1 0 +1,1 0 +1,,
ban TLN,1 1 +0,0 1 -1,,,
Crws TLN,0 1 -1,,1 0 +1,1 0 +1,
