,Kicks VIT,runneR VIT,Sayf VIT,ceNder VIT,trexx VIT
primmie TLN,,0 1 -1,1 0 +1,2 0 +2,1 1 +0
Governor TLN,1 2 -1,0 2 -2,1 3 -2,2 3 -1,1 0 +1
JitBoyS TLN,,2 0 +2,2 0 +2,,
ban TLN,1 1 +0,0 3 -3,,3 0 +3,
Crws TLN,0 1 -1,1 1 +0,1 1 +0,1 0 +1,0 1 -1
