,Kicks VIT,runneR VIT,Sayf VIT,ceNder VIT,trexx VIT
primmie TLN,,,,1 0 +1,
Governor TLN,1 0 +1,0 1 -1,1 0 +1,1 2 -1,1 0 +1
JitBoyS TLN,,1 0 +1,1 0 +1,,
ban TLN,,0 2 -2,,3 0 +3,
Crws TLN,,1 1 +0,0 1 -1,,0 1 -1
