,Kicks VIT,runneR VIT,Sayf VIT,ceNder VIT,trexx VIT
primmie TLN,4 7 -3,1 2 -1,4 3 +1,3 2 +1,2 1 +1
Governor TLN,1 4 -3,2 4 -2,2 2 +0,2 2 +0,3 4 -1
JitBoyS TLN,3 5 -2,3 0 +3,4 2 +2,1 2 -1,1 6 -5
ban TLN,0 2 -2,4 2 +2,1 1 +0,5 5 +0,2 4 -2
Crws TLN,1 4 -3,3 2 +1,0 3 -3,1 1 +0,2 4 -2
