,Kicks VIT,runneR VIT,Sayf VIT,ceNder VIT,trexx VIT
primmie TLN,5 2 +3,2 3 -1,4 3 +1,4 5 -1,6 2 +4
Governor TLN,4 2 +2,2 4 -2,3 6 -3,2 2 +0,1 3 -2
JitBoyS TLN,1 2 -1,5 6 -1,2 5 -3,0 4 -4,2 2 +0
ban TLN,2 6 -4,4 5 -1,3 3 +0,4 1 +3,5 1 +4
Crws TLN,2 6 -4,1 3 -2,2 5 -3,4 4 +0,2 1 +1
