,Kicks VIT,runneR VIT,Sayf VIT,ceNder VIT,trexx VIT
primmie TLN,9 9 +0,3 5 -2,8 6 +2,7 7 +0,8 3 +5
Governor TLN,5 6 -1,4 8 -4,5 8 -3,4 4 +0,4 7 -3
JitBoyS TLN,4 7 -3,8 6 +2,6 7 -1,1 6 -5,3 8 -5
ban TLN,2 8 -6,8 7 +1,4 4 +0,9 6 +3,7 5 +2
Crws TLN,3 10 -7,4 5 -1,2 8 -6,5 5 +0,4 5 -1
