,HYUNMIN DRX,Flashback DRX,BeYN DRX,MaKo DRX,free1ng DRX
t3xture GEN,4 8 -4,4 9 -5,1 2 -1,5 3 +2,2 3 -1
yoman GEN,7 1 +6,4 1 +3,2 6 -4,4 6 -2,2 6 -4
Munchkin GEN,2 3 -1,3 4 -1,3 4 -1,4 4 +0,3 6 -3
Karon GEN,2 4 -2,2 3 -1,6 1 +5,1 4 -3,2 5 -3
Foxy9 GEN,3 4 -1,4 4 +0,7 4 +3,3 2 +1,6 7 -1
