,HYUNMIN DRX,Flashback DRX,BeYN DRX,MaKo DRX,free1ng DRX
t3xture GEN,1 3 -2,2 3 -1,0 1 -1,1 0 +1,0 3 -3
yoman GEN,,,0 1 -1,,1 1 +0
Munchkin GEN,0 1 -1,1 2 -1,0 1 -1,,
Karon GEN,0 1 -1,,,,
Foxy9 GEN,,,3 0 +3,,1 1 +0
