,HYUNMIN DRX,Flashback DRX,BeYN DRX,MaKo DRX,free1ng DRX
t3xture GEN,6 1 +5,3 4 -1,3 5 -2,7 3 +4,1 4 -3
yoman GEN,1 3 -2,2 3 -1,1 2 -1,2 2 +0,5 3 +2
Munchkin GEN,3 2 +1,5 2 +3,2 7 -5,0 3 -3,1 3 -2
Karon GEN,4 3 +1,2 1 +1,3 5 -2,2 2 +0,3 6 -3
Foxy9 GEN,1 6 -5,2 1 +1,2 4 -2,2 2 +0,3 4 -1
