,HYUNMIN DRX,Flashback DRX,BeYN DRX,MaKo DRX,free1ng DRX
t3xture GEN,10 9 +1,7 13 -6,4 7 -3,12 6 +6,3 7 -4
yoman GEN,8 4 +4,6 4 +2,3 8 -5,6 8 -2,7 9 -2
Munchkin GEN,5 5 +0,8 6 +2,5 11 -6,4 7 -3,4 9 -5
Karon GEN,6 7 -1,4 4 +0,9 6 +3,3 6 -3,5 11 -6
Foxy9 GEN,4 10 -6,6 5 +1,9 8 +1,5 4 +1,9 11 -2
