,HYUNMIN DRX,Flashback DRX,BeYN DRX,MaKo DRX,free1ng DRX
t3xture GEN,2 0 +2,2 3 -1,,1 1 +0,
yoman GEN,0 1 -1,1 0 +1,0 1 -1,,
Munchkin GEN,1 0 +1,0 1 -1,,,0 1 -1
Karon GEN,1 1 +0,,,,0 1 -1
Foxy9 GEN,0 1 -1,,,1 0 +1,1 1 +0
