,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,2 4 -2,2 4 -2,4 2 +2,5 2 +3,3 4 -1
ara GX,4 1 +3,4 4 +0,2 1 +1,4 3 +1,1 6 -5
Flickless GX,1 6 -5,6 1 +5,3 3 +0,3 1 +2,7 5 +2
westside GX,5 4 +1,3 2 +1,2 3 -1,5 3 +2,3 4 -1
grubinho GX,3 2 +1,3 2 +1,3 1 +2,3 2 +1,2 7 -5
