,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,6 8 -2,3 7 -4,11 5 +6,8 4 +4,8 7 +1
ara GX,6 6 +0,8 5 +3,3 2 +1,7 9 -2,2 10 -8
Flickless GX,6 6 +0,10 3 +7,8 5 +3,9 8 +1,13 7 +6
westside GX,8 5 +3,7 3 +4,3 6 -3,6 8 -2,6 10 -4
grubinho GX,6 8 -2,10 3 +7,6 4 +2,5 5 +0,6 9 -3
