,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,1 0 +1,0 1 -1,1 0 +1,2 0 +2,
ara GX,3 2 +1,6 1 +5,,2 1 +1,0 3 -3
Flickless GX,,,1 0 +1,1 1 +0,0 1 -1
westside GX,2 1 +1,,1 0 +1,1 3 -2,
grubinho GX,1 0 +1,2 1 +1,2 0 +2,2 0 +2,1 2 -1
