,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,1 0 +1,,1 0 +1,1 0 +1,
ara GX,2 1 +1,3 0 +3,,,0 1 -1
Flickless GX,,,,1 0 +1,0 1 -1
westside GX,2 1 +1,,1 0 +1,1 1 +0,
grubinho GX,1 0 +1,,1 0 +1,2 0 +2,1 0 +1
