,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,,,,,
ara GX,,,,0 1 -1,
Flickless GX,,,,0 1 -1,0 1 -1
westside GX,,,,0 1 -1,0 2 -2
grubinho GX,,,,,0 2 -2
