,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,4 4 +0,1 3 -2,7 3 +4,3 2 +1,5 3 +2
ara GX,2 5 -3,4 1 +3,1 1 +0,3 6 -3,1 4 -3
Flickless GX,5 0 +5,4 2 +2,5 2 +3,6 7 -1,6 2 +4
westside GX,3 1 +2,4 1 +3,1 3 -2,1 5 -4,3 6 -3
grubinho GX,3 6 -3,7 1 +6,3 3 +0,2 3 -1,4 2 +2
