,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,0 1 -1,,,,
ara GX,0 1 -1,3 1 +2,,0 1 -1,
Flickless GX,,0 1 -1,,0 1 -1,0 1 -1
westside GX,,0 1 -1,,0 1 -1,0 3 -3
grubinho GX,,,,,0 3 -3
