,Chronicle FNC,Boaster FNC,crashies FNC,Alfajer FNC,kaajak FNC
Cloud GX,,0 1 -1,,1 0 +1,
ara GX,1 1 +0,3 1 +2,,2 1 +1,0 2 -2
Flickless GX,,,1 0 +1,0 1 -1,
westside GX,,,,0 2 -2,
grubinho GX,,2 1 +1,1 0 +1,,0 2 -2
