,Cryocells 100T,zander 100T,Asuna 100T,eeiu 100T,Boostio 100T
bang SEN,6 2 +4,4 4 +0,2 3 -1,2 2 +0,1 2 -1
johnqt SEN,4 0 +4,2 3 -1,4 2 +2,5 4 +1,7 1 +6
Zellsis SEN,1 2 -1,0 3 -3,3 3 +0,4 1 +3,2 5 -3
N4RRATE SEN,3 4 -1,4 2 +2,6 3 +3,1 4 -3,3 2 +1
zekken SEN,2 7 -5,2 3 -1,3 2 +1,4 2 +2,6 2 +4
