,Cryocells 100T,zander 100T,Asuna 100T,eeiu 100T,Boostio 100T
bang SEN,1 6 -5,1 2 -1,3 2 +1,0 5 -5,3 1 +2
johnqt SEN,0 8 -8,3 2 +1,4 1 +3,3 3 +0,3 1 +2
Zellsis SEN,1 5 -4,2 2 +0,2 3 -1,4 1 +3,2 3 -1
N4RRATE SEN,4 3 +1,2 1 +1,2 4 -2,4 5 -1,0 1 -1
zekken SEN,2 2 +0,2 1 +1,2 3 -1,2 3 -1,3 6 -3
