,Cryocells 100T,zander 100T,Asuna 100T,eeiu 100T,Boostio 100T
bang SEN,6 2 +4,2 1 +1,3 4 -1,5 2 +3,3 4 -1
johnqt SEN,1 1 +0,2 2 +0,3 6 -3,4 0 +4,6 2 +4
Zellsis SEN,2 3 -1,2 1 +1,3 4 -1,1 3 -2,3 1 +2
N4RRATE SEN,2 5 -3,7 2 +5,5 2 +3,1 5 -4,1 3 -2
zekken SEN,7 3 +4,2 3 -1,4 5 -1,4 2 +2,3 0 +3
