,Cryocells 100T,zander 100T,Asuna 100T,eeiu 100T,Boostio 100T
bang SEN,13 10 +3,7 7 +0,8 9 -1,7 9 -2,7 7 +0
johnqt SEN,5 9 -4,7 7 +0,11 9 +2,12 7 +5,16 4 +12
Zellsis SEN,4 10 -6,4 6 -2,8 10 -2,9 5 +4,7 9 -2
N4RRATE SEN,9 12 -3,13 5 +8,13 9 +4,6 14 -8,4 6 -2
zekken SEN,11 12 -1,6 7 -1,9 10 -1,10 7 +3,12 8 +4
