,Cryocells 100T,zander 100T,Asuna 100T,eeiu 100T,Boostio 100T
bang SEN,2 2 +0,0 1 -1,3 3 +0,,
johnqt SEN,1 0 +1,,2 0 +2,,
Zellsis SEN,0 2 -2,2 0 +2,0 3 -3,1 1 +0,2 2 +0
N4RRATE SEN,1 0 +1,2 0 +2,2 1 +1,,
zekken SEN,3 6 -3,1 2 -1,4 2 +2,4 1 +3,2 3 -1
