,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,1 1 +0,,3 1 +2,0 1 -1,1 0 +1
rushia BLG,2 1 +1,1 1 +0,4 1 +3,3 1 +2,1 0 +1
nephh BLG,0 1 -1,1 1 +0,3 3 +0,1 1 +0,
whzy BLG,0 3 -3,5 4 +1,3 3 +0,3 2 +1,4 3 +1
Levius BLG,1 3 -2,1 1 +0,1 2 -1,1 2 -1,
