,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,10 13 -3,9 3 +6,10 10 +0,6 11 -5,7 5 +2
rushia BLG,9 6 +3,10 14 -4,19 12 +7,10 8 +2,10 9 +1
nephh BLG,9 9 +0,9 12 -3,13 14 -1,11 10 +1,8 5 +3
whzy BLG,14 11 +3,16 7 +9,12 12 +0,11 13 -2,16 11 +5
Levius BLG,14 8 +6,7 13 -6,6 7 -1,12 13 -1,11 8 +3
