,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,4 7 -3,5 3 +2,3 5 -2,3 3 +0,3 0 +3
rushia BLG,2 4 -2,4 8 -4,6 5 +1,3 3 +0,3 2 +1
nephh BLG,4 2 +2,2 7 -5,8 7 +1,5 4 +1,2 0 +2
whzy BLG,4 5 -1,5 3 +2,6 5 +1,4 7 -3,10 2 +8
Levius BLG,7 2 +5,2 9 -7,1 4 -3,6 8 -2,3 0 +3
