,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,4 5 -1,3 0 +3,6 2 +4,1 5 -4,3 1 +2
rushia BLG,5 1 +4,2 3 -1,4 3 +1,4 0 +4,3 5 -2
nephh BLG,1 3 -2,4 1 +3,3 5 -2,4 3 +1,3 2 +1
whzy BLG,5 4 +1,7 3 +4,1 2 -1,4 2 +2,1 6 -5
Levius BLG,3 4 -1,1 2 -1,3 0 +3,3 2 +1,4 4 +0
