,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,,,,0 1 -1,1 0 +1
rushia BLG,,,2 0 +2,1 1 +0,
nephh BLG,0 1 -1,1 0 +1,,1 0 +1,
whzy BLG,,1 1 +0,3 2 +1,,1 2 -1
Levius BLG,1 0 +1,1 1 +0,0 1 -1,,
