,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,1 1 +0,,1 1 +0,,
rushia BLG,0 1 -1,1 1 +0,1 0 +1,,1 0 +1
nephh BLG,,0 1 -1,2 2 +0,0 1 -1,
whzy BLG,0 1 -1,2 1 +1,0 1 -1,1 1 +0,3 1 +2
Levius BLG,0 1 -1,,0 1 -1,0 2 -2,
