,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,,,2 0 +2,,
rushia BLG,2 0 +2,,1 1 +0,2 0 +2,
nephh BLG,,,1 1 +0,,
whzy BLG,0 2 -2,2 2 +0,,2 1 +1,
Levius BLG,0 2 -2,,1 0 +1,1 0 +1,
