,Serial TL,penny TL,kamo TL,keiko TL,paTiTek TL
Knight BLG,2 1 +1,1 0 +1,1 3 -2,2 3 -1,1 4 -3
rushia BLG,2 1 +1,4 3 +1,9 4 +5,3 5 -2,4 2 +2
nephh BLG,4 4 +0,3 4 -1,2 2 +0,2 3 -1,3 3 +0
whzy BLG,5 2 +3,4 1 +3,5 5 +0,3 4 -1,5 3 +2
Levius BLG,4 2 +2,4 2 +2,2 3 -1,3 3 +0,4 4 +0
