,iZu T1,carpe T1,Meteor T1,BuZz T1,stax T1
Sayf VIT,1 0 +1,1 0 +1,,,
Kicks VIT,,0 1 -1,0 1 -1,,
Derke VIT,1 1 +0,1 2 -1,1 2 -1,2 1 +1,
trexx VIT,,1 0 +1,1 0 +1,0 2 -2,
Less VIT,,1 1 +0,,0 2 -2,
