,iZu T1,carpe T1,Meteor T1,BuZz T1,stax T1
Sayf VIT,6 5 +1,4 3 +1,3 4 -1,4 9 -5,2 6 -4
Kicks VIT,6 6 +0,8 4 +4,8 7 +1,4 3 +1,6 6 +0
Derke VIT,9 5 +4,7 4 +3,7 10 -3,9 7 +2,10 4 +6
trexx VIT,8 5 +3,6 6 +0,4 6 -2,14 5 +9,8 4 +4
Less VIT,4 5 -1,10 3 +7,16 5 +11,6 9 -3,6 6 +0
