,Wo0t TH,MiniBoo TH,Boo TH,benjyfishy TH,RieNs TH
Ruxic NAVI,2 4 -2,2 2 +0,1 2 -1,0 3 -3,2 3 -1
hiro NAVI,2 5 -3,1 5 -4,0 2 -2,0 2 -2,0 2 -2
Shao NAVI,1 3 -2,2 5 -3,1 1 +0,1 4 -3,1 1 +0
ANGE1 NAVI,2 3 -1,2 6 -4,4 0 +4,1 2 -1,1 3 -2
koalanoob NAVI,2 2 +0,1 3 -2,2 4 -2,4 1 +3,1 6 -5
