,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
ANGE1 NAVI,,3 Round 6 benjyfishy MiniBoo Round 10 Wo0t Boo Round 13 Wo0t MiniBoo,,,,1 Round 13 MiniBoo,,,,,37,1,0
Shao NAVI,,2 Round 8 Wo0t benjyfishy Round 14 RieNs MiniBoo,4 Round 5 benjyfishy Wo0t Boo Shao Round 9 benjyfishy RieNs Boo Round 12 MiniBoo RieNs benjyfishy Round 20 Wo0t RieNs benjyfishy,1 Round 17 MiniBoo benjyfishy Wo0t Boo,,,,,,,85,2,0
koalanoob NAVI,,4 Round 1 RieNs Wo0t Round 3 Wo0t benjyfishy Round 15 benjyfishy RieNs Round 16 Wo0t RieNs,,,,,,,,,33,0,1
Ruxic NAVI,,1 Round 10 MiniBoo RieNs,1 Round 8 RieNs Boo MiniBoo,,,,,,,,40,3,0
hiro NAVI,,,1 Round 3 MiniBoo RieNs Boo,,,,,,,,37,0,0
Boo TH,,3 Round 2 Shao koalanoob Round 4 hiro Ruxic Round 12 Ruxic Shao,,,,1 Round 12 Shao,,,,,44,2,0
RieNs TH,,1 Round 12 koalanoob ANGE1,,1 Round 18 Shao koalanoob ANGE1 Ruxic,,,,,,,56,4,1
MiniBoo TH,,3 Round 2 ANGE1 hiro Round 10 hiro koalanoob Round 21 koalanoob Shao,1 Round 11 Shao hiro koalanoob,,1 Round 15 hiro Shao ANGE1 koalanoob Ruxic,1 Round 15 Ruxic,,,,,60,1,1
Wo0t TH,,5 Round 1 ANGE1 Ruxic Round 5 hiro ANGE1 Round 6 koalanoob hiro Round 7 ANGE1 koalanoob Round 13 Ruxic koalanoob,,,,,,,,,47,0,0
benjyfishy TH,,3 Round 5 Ruxic koalanoob Round 10 ANGE1 Ruxic Round 21 hiro ANGE1,1 Round 19 koalanoob Shao ANGE1,,,,1 Round 10 Ruxic ANGE1,,,,54,3,0
