,Wo0t TH,MiniBoo TH,Boo TH,benjyfishy TH,RieNs TH
Ruxic NAVI,1 1 +0,,,,0 1 -1
hiro NAVI,0 1 -1,,,,
Shao NAVI,,0 2 -2,,,
ANGE1 NAVI,,0 1 -1,1 0 +1,,0 1 -1
koalanoob NAVI,0 1 -1,,1 2 -1,1 0 +1,0 2 -2
