,Wo0t TH,MiniBoo TH,Boo TH,benjyfishy TH,RieNs TH
Ruxic NAVI,0 1 -1,,1 1 +0,0 1 -1,
hiro NAVI,1 1 +0,0 2 -2,,,0 2 -2
Shao NAVI,0 1 -1,,,,0 1 -1
ANGE1 NAVI,0 2 -2,0 2 -2,,,
koalanoob NAVI,0 1 -1,0 1 -1,1 0 +1,0 1 -1,1 0 +1
