,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,3 1 +2,3 4 -1,4 3 +1,1 4 -3,5 4 +1
Kushy RRQ,1 5 -4,4 1 +3,2 1 +1,1 1 +0,4 6 -2
Jemkin RRQ,2 3 -1,5 3 +2,5 5 +0,2 3 -1,5 1 +4
crazyguy RRQ,4 4 +0,1 6 -5,2 3 -1,1 3 -2,0 3 -3
xffero RRQ,2 4 -2,3 1 +2,2 3 -1,4 2 +2,1 4 -3
