,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,,0 1 -1,3 0 +3,1 1 +0,1 0 +1
Kushy RRQ,,0 2 -2,,,3 0 +3
Jemkin RRQ,0 1 -1,0 1 -1,1 1 +0,,
crazyguy RRQ,,,0 1 -1,,
xffero RRQ,,1 0 +1,1 0 +1,,1 0 +1
