,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,4 3 +1,3 2 +1,5 3 +2,4 4 +0,1 3 -2
Kushy RRQ,3 0 +3,2 4 -2,1 0 +1,1 4 -3,6 1 +5
Jemkin RRQ,5 2 +3,2 3 -1,3 2 +1,6 2 +4,2 1 +1
crazyguy RRQ,2 1 +1,2 8 -6,2 4 -2,2 0 +2,2 1 +1
xffero RRQ,4 2 +2,7 1 +6,4 4 +0,1 1 +0,5 2 +3
