,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,1 5 -4,2 1 +1,3 3 +0,2 3 -1,2 4 -2
Kushy RRQ,0 4 -4,1 2 -1,2 3 -1,3 2 +1,2 5 -3
Jemkin RRQ,6 5 +1,5 6 -1,1 4 -3,5 2 +3,6 0 +6
crazyguy RRQ,4 6 -2,1 3 -2,3 2 +1,1 1 +0,6 3 +3
xffero RRQ,3 4 -1,4 2 +2,3 5 -2,1 1 +0,1 3 -2
