,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,,,,,0 1 -1
Kushy RRQ,,,,,0 1 -1
Jemkin RRQ,3 0 +3,4 0 +4,2 0 +2,3 0 +3,1 0 +1
crazyguy RRQ,,,,,
xffero RRQ,,,,0 1 -1,0 2 -2
