,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,0 1 -1,,,0 1 -1,1 3 -2
Kushy RRQ,0 1 -1,,0 1 -1,1 0 +1,0 2 -2
Jemkin RRQ,1 1 +0,1 0 +1,0 1 -1,2 1 +1,1 0 +1
crazyguy RRQ,0 1 -1,0 1 -1,,1 0 +1,
xffero RRQ,,,,,
