,Meteor T1,DH T1,iZu T1,stax T1,BuZz T1
Monyet RRQ,1 1 +0,0 2 -2,3 1 +2,2 2 +0,3 4 -1
Kushy RRQ,0 1 -1,0 2 -2,0 2 -2,1 0 +1,3 4 -1
Jemkin RRQ,2 2 +0,3 1 +2,3 5 -2,2 1 +1,1 0 +1
crazyguy RRQ,0 1 -1,1 1 +0,0 1 -1,1 0 +1,0 1 -1
xffero RRQ,1 0 +1,1 0 +1,2 0 +2,,1 0 +1
