,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
supamen EG,,5 Round 4 aspas C0M Round 6 Mazino C0M Round 8 tex C0M Round 22 Mazino C0M Round 23 Mazino C0M,1 Round 11 C0M kiNgg aspas,,,,,,,,60,2,0
Derrek EG,,7 Round 3 C0M tex Round 4 tex kiNgg Round 5 tex Mazino Round 13 tex aspas Round 14 tex aspas Round 15 tex Mazino Round 22 aspas kiNgg,,,,1 Round 22 kiNgg,,,,,81,3,1
jawgemo EG,,5 Round 6 aspas tex Round 7 tex aspas Round 12 aspas C0M Round 15 aspas kiNgg Round 18 aspas C0M,,,,,,,,,52,0,1
NaturE EG,,3 Round 1 tex aspas Round 18 kiNgg Mazino Round 21 aspas C0M,,,,,,,,,39,3,1
Apoth EG,,,1 Round 12 Mazino kiNgg tex Apoth,,,,1 Round 12 tex kiNgg,,,,46,0,0
C0M LEV,,2 Round 8 NaturE jawgemo Round 23 NaturE Apoth,,,,,,,,,46,2,0
tex LEV,,3 Round 10 NaturE supamen Round 15 NaturE supamen Round 20 Apoth supamen,1 Round 9 jawgemo supamen NaturE,,,,,,,,40,0,0
Mazino LEV,,4 Round 1 supamen NaturE Round 7 jawgemo supamen Round 10 jawgemo Derrek Round 20 jawgemo Derrek,2 Round 13 Apoth jawgemo NaturE Round 21 Apoth NaturE Derrek,,,,1 Round 21 Derrek NaturE,,,,61,7,2
aspas LEV,,2 Round 2 Apoth supamen Round 5 supamen Derrek,3 Round 3 supamen jawgemo Apoth Round 8 Apoth supamen Derrek Round 22 supamen Apoth jawgemo,,,,,,,,69,0,0
kiNgg LEV,,2 Round 16 supamen NaturE Round 21 supamen jawgemo,1 Round 2 jawgemo Derrek NaturE,,,1 Round 23 supamen,,,,,55,1,1
