,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
supamen EG,,0 1 -1,,,
Derrek EG,,,,,
jawgemo EG,,1 0 +1,,,
NaturE EG,,0 2 -2,,,
Apoth EG,,0 3 -3,,,
