,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
supamen EG,0 2 -2,1 3 -2,2 2 +0,1 1 +0,3 1 +2
Derrek EG,,0 2 -2,1 0 +1,0 1 -1,0 1 -1
jawgemo EG,,2 2 +0,0 2 -2,,0 2 -2
NaturE EG,,0 1 -1,0 1 -1,,
Apoth EG,1 1 +0,0 1 -1,0 1 -1,2 0 +2,1 3 -2
