,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
supamen EG,0 1 -1,0 1 -1,1 1 +0,,2 1 +1
Derrek EG,,0 1 -1,,,0 1 -1
jawgemo EG,,1 2 -1,,,
NaturE EG,,0 1 -1,0 1 -1,,
Apoth EG,,,,1 0 +1,1 2 -1
