,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
supamen EG,0 1 -1,1 2 -1,1 1 +0,1 1 +0,1 0 +1
Derrek EG,,0 1 -1,1 0 +1,0 1 -1,
jawgemo EG,,1 0 +1,0 2 -2,,0 2 -2
NaturE EG,,,,,
Apoth EG,1 1 +0,0 1 -1,0 1 -1,1 0 +1,0 1 -1
