,aspas MIBR,Verno MIBR,cortezia MIBR,xenom MIBR,artzin MIBR
Knight BLG,0 1 -1,1 1 +0,,1 0 +1,
nephh BLG,,,0 1 -1,0 1 -1,
Levius BLG,,,0 1 -1,0 1 -1,1 1 +0
rushia BLG,,,,,0 1 -1
whzy BLG,,,0 1 -1,1 1 +0,1 0 +1
