,aspas MIBR,Verno MIBR,cortezia MIBR,xenom MIBR,artzin MIBR
Knight BLG,2 9 -7,5 7 -2,8 6 +2,2 1 +1,7 6 +1
nephh BLG,4 5 -1,2 5 -3,5 4 +1,4 6 -2,3 4 -1
Levius BLG,3 7 -4,2 4 -2,4 6 -2,3 5 -2,7 4 +3
rushia BLG,4 6 -2,6 10 -4,1 6 -5,3 2 +1,2 7 -5
whzy BLG,4 8 -4,1 9 -8,3 6 -3,7 3 +4,3 7 -4
