,aspas MIBR,Verno MIBR,cortezia MIBR,xenom MIBR,artzin MIBR
Knight BLG,,1 0 +1,1 1 +0,,1 0 +1
nephh BLG,,,1 0 +1,,
Levius BLG,1 1 +0,,1 0 +1,1 0 +1,
rushia BLG,0 2 -2,0 2 -2,,,
whzy BLG,0 2 -2,0 2 -2,1 1 +0,2 0 +2,0 1 -1
