,aspas MIBR,Verno MIBR,cortezia MIBR,xenom MIBR,artzin MIBR
Knight BLG,,,,,
nephh BLG,0 1 -1,,0 1 -1,,
Levius BLG,0 1 -1,,,,
rushia BLG,0 1 -1,,0 1 -1,,
whzy BLG,0 1 -1,,,,
