,aspas MIBR,Verno MIBR,cortezia MIBR,xenom MIBR,artzin MIBR
Knight BLG,0 7 -7,2 3 -1,5 2 +3,2 0 +2,3 2 +1
nephh BLG,2 1 +1,0 4 -4,1 1 +0,1 3 -2,1 3 -2
Levius BLG,1 2 -1,1 1 +0,1 3 -2,0 2 -2,2 2 +0
rushia BLG,1 0 +1,0 6 -6,0 4 -4,2 1 +1,1 2 -1
whzy BLG,2 3 -1,0 4 -4,0 2 -2,3 2 +1,1 3 -2
