,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Knight BLG,,3 Round 10 cortezia artzin Round 13 artzin cortezia Round 14 Verno xenom,,,,,,,,,64,1,0
whzy BLG,,1 Round 3 aspas xenom,,,,,,,,,34,0,0
nephh BLG,,,,,,,,,,,40,0,0
Levius BLG,,2 Round 3 artzin cortezia Round 4 Verno aspas,,,,,1 Round 4 aspas Verno,,,,19,0,1
rushia BLG,,,,,,,,,,,32,0,0
cortezia MIBR,,3 Round 6 Levius rushia Round 9 Levius rushia Round 14 rushia Knight,,,,1 Round 14 Knight,,,,,70,2,1
artzin MIBR,,4 Round 3 whzy Knight Round 6 whzy nephh Round 11 Knight nephh Round 13 Levius nephh,,,,,,,,,47,1,0
aspas MIBR,,,1 Round 12 whzy Knight Levius,1 Round 10 whzy nephh Knight Levius,,,,,,,80,0,0
xenom MIBR,,2 Round 5 whzy Levius Round 15 whzy nephh,,,,,,,,,33,2,0
Verno MIBR,,2 Round 5 rushia nephh Round 11 rushia whzy,,2 Round 1 whzy nephh Levius Knight Round 8 Knight nephh rushia whzy,,,1 Round 1 Knight Levius,,,,93,5,0
