,paTiTek TL,keiko TL,Serial TL,kamo TL,nAts TL
PatMen PRX,0 1 -1,0 1 -1,0 0,2 0 +2,1 1 +0
d4v41 PRX,,,0 0,0 1 -1,
f0rsakeN PRX,1 0 +1,1 0 +1,0 0,1 1 +0,1 0 +1
something PRX,,,0 0,0 2 -2,
Jinggg PRX,1 0 +1,0 1 -1,0 0,1 3 -2,
