,paTiTek TL,keiko TL,Serial TL,kamo TL,nAts TL
PatMen PRX,2 1 +1,2 2 +0,1 0 +1,2 2 +0,1 1 +0
d4v41 PRX,,0 1 -1,1 0 +1,2 2 +0,
f0rsakeN PRX,2 0 +2,1 0 +1,0 1 -1,2 2 +0,2 1 +1
something PRX,0 5 -5,0 1 -1,1 1 +0,1 4 -3,1 1 +0
Jinggg PRX,2 4 -2,0 3 -3,1 0 +1,6 3 +3,0 1 -1
