,paTiTek TL,keiko TL,Serial TL,kamo TL,nAts TL
PatMen PRX,1 0 +1,0 1 -1,1 0 +1,0 1 -1,
d4v41 PRX,,0 1 -1,1 0 +1,1 1 +0,
f0rsakeN PRX,,,0 1 -1,0 1 -1,
something PRX,0 5 -5,0 1 -1,1 0 +1,1 2 -1,1 1 +0
Jinggg PRX,0 2 -2,0 1 -1,,2 0 +2,0 1 -1
