,paTiTek TL,keiko TL,Serial TL,kamo TL,nAts TL
PatMen PRX,1 0 +1,2 0 +2,,0 1 -1,
d4v41 PRX,,,,1 0 +1,
f0rsakeN PRX,1 0 +1,,,1 0 +1,1 1 +0
something PRX,,,0 1 -1,,
Jinggg PRX,1 2 -1,0 1 -1,1 0 +1,3 0 +3,
